Question,Answer,Question Type,Expert time (mins),Rubric
What is the current share price of Dangote Cement (DANGCEM) on the NGX?,The answer should reflect the latest closing price from the NGX equities price list. The price fluctuates daily.,Quantitative Retrieval,2,"[{'operator': 'correctness', 'criteria': 'Returns a numerical share price in Naira for DANGCEM from NGX data'}]"
What is the current share price of GTCO on the Nigerian Stock Exchange?,The answer should reflect the latest closing price from the NGX equities price list for Guaranty Trust Holding Company.,Quantitative Retrieval,2,"[{'operator': 'correctness', 'criteria': 'Returns a numerical share price in Naira for GTCO from NGX data'}]"
Compare the share prices of ZENITHBANK and ACCESSCORP on the NGX today.,The answer should show the latest closing prices for both Zenith Bank and Access Holdings from the NGX price list and note which is higher.,Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'Returns prices for both ZENITHBANK and ACCESSCORP'}, {'operator': 'correctness', 'criteria': 'Correctly identifies which stock has the higher price'}]"
What sector does MTN Nigeria (MTNN) belong to on the NGX?,MTNN is listed under the ICT / Telecommunications sector on the Nigerian Stock Exchange.,Qualitative Retrieval,2,"[{'operator': 'correctness', 'criteria': 'MTNN belongs to the ICT or Telecommunications sector on the NGX'}]"
What is the P/E ratio of Dangote Cement (DANGCEM)?,The P/E ratio is calculated as the current share price divided by earnings per share (EPS). The answer should use the latest available price and EPS from the most recent annual report.,Numerical Reasoning,10,"[{'operator': 'correctness', 'criteria': 'P/E ratio is calculated correctly from current price and EPS'}]"
What is Zenith Bank's (ZENITHBANK) Return on Equity (ROE) based on its most recent annual report?,ROE = Profit After Tax / Total Shareholders Equity × 100. The answer should reference the most recent audited financial statements.,Numerical Reasoning,10,"[{'operator': 'correctness', 'criteria': 'ROE is calculated as PAT divided by total equity'}]"
What was GTCO's Profit After Tax (PAT) in its most recent annual report?,The answer should state the exact PAT figure in Naira from the most recent audited annual report of Guaranty Trust Holding Company (GTCO).,Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'States the PAT figure in Naira from the most recent GTCO annual report'}]"
What is the dividend yield of SEPLAT Energy on the NGX?,Dividend Yield = Annual DPS / Current Share Price × 100. The answer should use the latest available DPS and current market price.,Numerical Reasoning,10,"[{'operator': 'correctness', 'criteria': 'Dividend yield is calculated from DPS and current price'}]"
What is the debt-to-equity ratio of BUA Cement (BUACEMENT)?,D/E = Total Debt / Total Shareholders Equity. Should reference the most recent balance sheet.,Numerical Reasoning,10,"[{'operator': 'correctness', 'criteria': 'D/E ratio calculated from total debt and equity'}]"
List the top 5 NGX stocks by market capitalisation.,The answer should list 5 stocks and their approximate market caps. Typically includes DANGCEM; MTNN; AIRTELAFRI; BUACEMENT; and GTCO among the largest.,Market Analysis,15,"[{'operator': 'correctness', 'criteria': 'Lists 5 NGX stocks with market cap estimates'}, {'operator': 'correctness', 'criteria': 'Market cap calculated as shares outstanding × current price'}]"
What are the most recent corporate disclosures for FBNH on the NGX?,The answer should list recent disclosure filings from First Bank of Nigeria Holdings (FBNH) from the NGX corporate disclosures portal.,Qualitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'Returns disclosure titles and dates for FBNH from NGX'}]"
Has Nestle Nigeria (NESTLE) published an audited annual report recently?,The answer should indicate whether an audited financial statement or annual report is available in the NGX disclosures for NESTLE.,Qualitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'Checks NGX disclosures for NESTLE annual report availability'}]"
What is the risk-free rate used for DCF valuations in the Nigerian market?,The risk-free rate for Nigerian DCF valuations is the FGN (Federal Government of Nigeria) 10-year bond yield which is approximately 18-19%.,Qualitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'Risk-free rate is the FGN 10-year bond yield'}, {'operator': 'correctness', 'criteria': 'Rate is approximately 18-19%'}]"
What is the typical WACC range for Nigerian banking stocks?,Nigerian banking stocks typically have a WACC range of 22-26% due to the high risk-free rate (FGN bond yield ~18-19%) and banking sector-specific risks.,Qualitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'WACC range for Nigerian banks is approximately 22-26%'}]"
Perform a basic DCF valuation for Dangote Cement (DANGCEM).,The answer should include: current price; estimated fair value per share in ₦; key assumptions (WACC; terminal growth; FCF growth); sensitivity analysis; and caveats about Nigerian market-specific risks.,Financial Modeling,60,"[{'operator': 'correctness', 'criteria': 'Includes current price and fair value estimate in Naira'}, {'operator': 'correctness', 'criteria': 'Uses Nigerian risk-free rate (FGN bond yield ~18-19%)'}, {'operator': 'correctness', 'criteria': 'Includes sensitivity analysis'}, {'operator': 'correctness', 'criteria': 'Mentions Nigerian market-specific caveats'}]"
What is the EPS (Earnings Per Share) of MTNN from its latest annual report?,The answer should state the EPS figure in Naira from MTN Nigeria's most recent audited annual report.,Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'States EPS in Naira for MTNN from latest annual report'}]"
Compare the revenue growth of DANGCEM and BUACEMENT over the last 2 years.,"The answer should show revenue figures for both companies for 2 consecutive years and compute year-over-year growth rates, noting which company grew faster.",Trends,20,"[{'operator': 'correctness', 'criteria': 'Shows revenue for both companies for 2 years'}, {'operator': 'correctness', 'criteria': 'Computes YoY growth rates'}, {'operator': 'correctness', 'criteria': 'Identifies which company had higher growth'}]"
What is the current share price and daily change for Airtel Africa (AIRTELAFRI)?,The answer should show the latest closing price and the daily price change (in ₦ and %) for AIRTELAFRI from the NGX price list.,Quantitative Retrieval,5,"[{'operator': 'correctness', 'criteria': 'Returns closing price and daily change for AIRTELAFRI'}]"
What financial ratios are available for GTCO?,The answer should compute or retrieve available ratios such as P/E; P/B; ROE; ROA; Dividend Yield; and D/E from the latest available data.,Quantitative Retrieval,15,"[{'operator': 'correctness', 'criteria': 'Returns multiple financial ratios for GTCO'}]"
What is the NGX All Share Index?,The NGX All Share Index (ASI) is the benchmark index of the Nigerian Stock Exchange that tracks the general market direction of all listed equities. It is a market capitalisation-weighted index.,Qualitative Retrieval,2,"[{'operator': 'correctness', 'criteria': 'Describes the NGX ASI as the benchmark index tracking all listed equities'}, {'operator': 'correctness', 'criteria': 'Notes it is market capitalisation-weighted'}]"
What are the trading hours of the Nigerian Stock Exchange?,The NGX operates from 10:00 AM to 2:30 PM West Africa Time (WAT) Monday through Friday.,Qualitative Retrieval,2,"[{'operator': 'correctness', 'criteria': 'Trading hours are 10:00-14:30 WAT Monday-Friday'}]"
What recent news is available about Dangote Cement?,The answer should return recent news articles about Dangote Cement from Nigerian financial sources such as Nairametrics; BusinessDay; or Proshare.,Qualitative Retrieval,10,"[{'operator': 'correctness', 'criteria': 'Returns news articles with titles and sources about Dangote Cement'}]"
Search for recent dividend announcements for NGX banking stocks.,The answer should search for and return recent dividend-related news for major Nigerian banks (GTCO; ZENITHBANK; ACCESSCORP; UBA; FBNH).,Qualitative Retrieval,10,"[{'operator': 'correctness', 'criteria': 'Returns dividend-related news for Nigerian banks'}]"
